,x,y,leiden,QC,n_genes,normalize_total,class
5407,6953.669291,12325.41732,0,cell,53,5804.874,Inhibitory neurons 1
5408,6454.721154,12327.56731,6,cell,53,5225.7114,Excitatory neurons 3
5409,6370.465116,12332.72093,0,cell,53,7367.5737,Inhibitory neurons 1
5410,6535.962963,12330.74074,8,cell,53,2581.9814,Unknown
5411,6658.165138,12338.20183,0,cell,53,14404.321,Inhibitory neurons 1
5412,6990.57732,12334.5567,4,cell,53,3579.7832,Endothelial cells
5413,6503.712766,12334.38298,13,cell,53,2992.617,Pericytes
5414,6640.487805,12336.53049,0,cell,53,12019.769,Inhibitory neurons 1
5415,7038.963415,12337.57927,1,cell,53,10107.719,Astrocytes
5416,7213.948052,12336.51948,4,cell,53,4228.9097,Endothelial cells
5417,7436.208333,12338.32639,1,cell,53,11141.693,Astrocytes
5418,6564.215686,12336.98039,1,cell,53,4926.236,Astrocytes
5419,6822.552846,12338.99187,0,cell,53,7097.431,Inhibitory neurons 1
5420,6922.98913,12339.69565,1,cell,53,6188.946,Astrocytes
5421,7004.356481,12345.07407,0,cell,53,19944.904,Inhibitory neurons 1
5422,6730.027933,12345.59777,0,cell,53,9313.496,Inhibitory neurons 1
5423,7062.113636,12345.63636,0,cell,53,11731.087,Inhibitory neurons 1
5424,7107.5625,12342.0625,0,cell,53,7498.078,Inhibitory neurons 1
5425,6976.15,12347.75,6,cell,53,5431.975,Excitatory neurons 3
5426,7424.605634,12342.4507,6,cell,53,7595.958,Excitatory neurons 3
5427,6514.246753,12348.22727,0,cell,53,8453.1045,Inhibitory neurons 1
5428,6616.566434,12346.66434,0,cell,53,6858.6924,Inhibitory neurons 1
5429,6689.176056,12347.76056,0,cell,53,7362.2896,Inhibitory neurons 1
5430,6840.079208,12346.37624,0,cell,53,10666.9795,Inhibitory neurons 1
5431,6944.6,12346.53333,10,cell,53,12556.941,Mature oligodendrocytes 2
5432,6424.55,12346.82,1,cell,53,2568.8298,Astrocytes
5433,6912.572973,12348.84324,13,cell,53,6443.335,Pericytes
5434,7292.457944,12346.16822,0,cell,53,13491.7295,Inhibitory neurons 1
5435,7412.043478,12348.70807,6,cell,53,10615.547,Excitatory neurons 3
5436,6465.371429,12351.27143,13,cell,53,4997.1714,Pericytes
5437,7016.776119,12354.58955,0,cell,53,9566.456,Inhibitory neurons 1
5438,6584.093333,12355.21333,13,cell,53,6858.2007,Pericytes
5439,7434.128205,12353.29487,7,cell,53,7727.9487,Blood vessel associated cells
5440,6546.278146,12355.52318,0,cell,53,6536.5293,Inhibitory neurons 1
5441,6794.217391,12354.5,0,cell,53,6080.718,Inhibitory neurons 1
5442,6562.900474,12358.82464,10,cell,53,9755.872,Mature oligodendrocytes 2
5443,7065.198953,12359.69634,0,cell,53,19588.623,Inhibitory neurons 1
5444,6766.19,12359.535,2,cell,53,10579.689,Mature oligodendrocytes 1
5445,7090.940299,12362.13433,1,cell,53,6317.5522,Astrocytes
5446,7036.419753,12363.8642,0,cell,53,10247.432,Inhibitory neurons 1
5447,6861.222798,12365.54922,0,cell,53,16159.306,Inhibitory neurons 1
5448,7332.5,12363.65517,11,cell,53,1798.4309,Microglia
5449,6798.614525,12369.10615,0,cell,53,8861.781,Inhibitory neurons 1
5450,6839.301075,12368.02151,1,cell,53,2946.957,Astrocytes
5451,6983.724719,12369.79775,8,cell,53,5173.8643,Unknown
