,x,y,leiden,QC
608,5927.121212,12983.70707,6,cell
609,5387.514493,12985.14493,3,cell
610,5977.822581,12987.18548,24,cell
611,5125.716049,12984.75309,5,cell
612,5616.655738,12986.08197,4,cell
613,5266.191667,12988.61667,4,cell
614,5552.031674,12992.28959,4,cell
615,5639.314103,12991.03846,23,cell
616,5212.658824,12989.61176,7,cell
617,5918.841121,12993.98131,12,cell
618,5987.688172,12995.5914,24,cell
619,6293.93133,13003.397,24,cell
620,5288.420635,12993.99206,25,cell
621,5320.015267,12995.32824,16,cell
622,5850.76,12995.61,23,cell
623,5221.335165,12998.68132,4,cell
624,5168.0,12995.88312,6,cell
625,6000.326241,12999.50355,24,cell
626,5926.906667,12997.90667,3,cell
627,5862.182353,13000.68235,7,cell
628,6345.641791,12998.22388,3,cell
629,5373.00813,13000.9187,4,cell
630,6221.761538,13002.49231,3,cell
631,5132.778626,13004.0687,3,cell
632,6315.384937,13006.82845,24,cell
633,5807.877301,13012.04908,23,cell
634,6242.24,13004.96,3,cell
635,6018.657534,13011.58904,3,cell
636,5480.754601,13011.35583,36,cell
637,6002.938462,13018.78974,24,cell
638,5492.905172,13014.82759,28,cell
639,5596.78169,13014.34507,4,cell
640,5979.390977,13018.19925,24,cell
641,5548.48951,13016.69231,4,cell
642,5721.391304,13015.04348,28,cell
643,5583.445783,13016.13253,25,cell
644,5960.068966,13017.41379,24,cell
645,5165.546154,13020.78462,16,cell
646,5341.617486,13020.72678,4,cell
647,6303.707207,13025.79505,24,cell
648,5114.190476,13021.63492,4,cell
649,5475.246377,13020.7971,23,cell
650,5538.988827,13021.77095,7,cell
651,5569.895604,13023.33516,23,cell
652,5414.0,13022.5,6,cell
653,5791.891753,13027.8299,6,cell
654,5392.331058,13030.70307,20,cell
655,5987.111111,13027.65972,24,cell
656,6322.40625,13026.03125,24,cell
657,5097.191489,13026.48936,13,cell
658,5730.40678,13028.52542,4,cell
659,6195.42623,13028.21311,5,cell
660,5610.033898,13027.76271,4,cell
661,6347.75,13030.96875,24,cell
662,5463.706422,13036.84404,28,cell
663,5969.564626,13038.98639,24,cell
664,5539.284916,13041.11173,4,cell
665,5734.244898,13040.81633,4,cell
666,5437.116402,13042.20635,4,cell
667,5211.126214,13041.65049,12,cell
668,5299.940541,13043.92432,4,cell
669,5316.714286,13044.60476,12,cell
670,5564.208889,13048.42667,4,cell
671,5406.041958,13044.8042,4,cell
672,5142.575472,13044.87736,4,cell
673,5454.964286,13047.10714,4,cell
674,5998.3,13047.58333,24,cell
675,6228.15534,13047.07767,9,cell
676,6344.944444,13049.18889,24,cell
677,5964.935673,13053.4386,24,cell
678,5469.1625,13053.175,4,cell
679,5537.35503,13054.08284,25,cell
680,5983.429603,13055.08303,24,cell
